metro,zcta,pct_overlap
Greater Philadelphia Region,19316,99.99999999963462
Greater Philadelphia Region,19317,99.99999999990806
Greater Philadelphia Region,19319,99.99999998875583
Greater Philadelphia Region,19320,99.95321953019278
Greater Philadelphia Region,19330,100.00000000041118
Greater Philadelphia Region,19333,100.00000000273455
Greater Philadelphia Region,19335,99.999999999948
Greater Philadelphia Region,19341,100.0000000001166
Greater Philadelphia Region,19342,100.0000000002804
Greater Philadelphia Region,19343,100.00000000016416
Greater Philadelphia Region,19344,97.9707656407563
Greater Philadelphia Region,19345,99.9999999989142
Greater Philadelphia Region,19348,100.00000000010449
Greater Philadelphia Region,19350,100.00000000077821
Greater Philadelphia Region,19352,99.99999999994465
Greater Philadelphia Region,19355,100.00000000026704
Greater Philadelphia Region,19358,99.9999999905554
Greater Philadelphia Region,19362,59.837240840239026
Greater Philadelphia Region,19363,95.81432113737264
Greater Philadelphia Region,19365,99.99999999988025
Greater Philadelphia Region,19367,99.99999999518164
Greater Philadelphia Region,19372,99.99999999731062
Greater Philadelphia Region,19373,99.99999999978874
Greater Philadelphia Region,19374,100.0000000022337
Greater Philadelphia Region,19375,100.0000000009335
Greater Philadelphia Region,19380,99.99999999984782
Greater Philadelphia Region,19382,100.00000000024083
Greater Philadelphia Region,19383,99.99999999996639
Greater Philadelphia Region,19390,100.00000000029476
Greater Philadelphia Region,19401,100.0000000010269
Greater Philadelphia Region,19403,99.9999999993475
Greater Philadelphia Region,19405,99.99999999492691
Greater Philadelphia Region,19406,100.00000000073446
Greater Philadelphia Region,19422,100.00000000017567
Greater Philadelphia Region,19425,99.9999999997422
Greater Philadelphia Region,19426,100.0000000000594
Greater Philadelphia Region,19428,100.00000000045712
Greater Philadelphia Region,19435,100.00000000037946
Greater Philadelphia Region,19436,99.99999999728966
Greater Philadelphia Region,19437,99.99999999896212
Greater Philadelphia Region,19438,100.00000000029938
Greater Philadelphia Region,19440,99.99999999990708
Greater Philadelphia Region,19442,100.00000004335013
Greater Philadelphia Region,19444,99.99999999987355
Greater Philadelphia Region,19446,99.99999999984864
Greater Philadelphia Region,19453,100.00000001080652
Greater Philadelphia Region,19454,99.99999999931136
Greater Philadelphia Region,19456,99.9999999889424
Greater Philadelphia Region,19457,99.99999997620284
Greater Philadelphia Region,19460,100.00000000024623
Greater Philadelphia Region,19462,100.00000000065761
Greater Philadelphia Region,19464,99.62786158244843
Greater Philadelphia Region,19465,100.0000000000833
Greater Philadelphia Region,19468,99.99999999977362
Greater Philadelphia Region,19472,100.00000000373683
Greater Philadelphia Region,19473,99.99999999989558
Greater Philadelphia Region,19474,99.9999999980868
Greater Philadelphia Region,19475,100.00000000036944
Greater Philadelphia Region,19477,100.00000001752012
Greater Philadelphia Region,19492,99.99999999947303
Greater Philadelphia Region,19504,29.74682966636899
Greater Philadelphia Region,19505,12.246342148351765
Greater Philadelphia Region,19520,75.6807199576984
Greater Philadelphia Region,19525,100.00000000034413
Greater Philadelphia Region,19543,5.246301892933832
Greater Philadelphia Region,19072,100.00000000064584
Greater Philadelphia Region,19073,100.00000000044923
Greater Philadelphia Region,19074,100.00000000195864
Greater Philadelphia Region,19075,99.99999999878357
Greater Philadelphia Region,19076,100.00000000137118
Greater Philadelphia Region,19078,99.99999999840722
Greater Philadelphia Region,19079,99.99999999945082
Greater Philadelphia Region,19081,100.00000000045179
Greater Philadelphia Region,19082,100.00000000279421
Greater Philadelphia Region,19083,99.99999999987945
Greater Philadelphia Region,19085,100.00000000031915
Greater Philadelphia Region,19086,99.99999999950869
Greater Philadelphia Region,19087,99.99999999946466
Greater Philadelphia Region,19090,100.00000000088943
Greater Philadelphia Region,19094,100.00000000302008
Greater Philadelphia Region,19095,99.999999998875
Greater Philadelphia Region,19096,100.00000000238798
Greater Philadelphia Region,18036,38.54308885760273
Greater Philadelphia Region,18041,61.225856998117756
Greater Philadelphia Region,18054,99.99999999859655
Greater Philadelphia Region,18070,75.17782615125522
Greater Philadelphia Region,18073,99.99999999964881
Greater Philadelphia Region,18074,100.0000000003823
Greater Philadelphia Region,18076,99.9999999980634
Greater Philadelphia Region,18077,91.62945000544973
Greater Philadelphia Region,18081,99.99999999713373
